LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
31,81112,174729,239,ERROR,dfs.DataNode,DataNode failed to transfer block blk_4595424608621362345 to 10.250.68.77:60968 due to timeout,E22,DataNode failed to transfer block blk_<*> to <*>:<*> due to timeout
32,81113,204039,340,INFO,dfs.DataNode$PacketResponder,Received block blk_-7215327496667497837 of size 67108864 from /10.251.114.162,E11,Received block blk_<*> of size <*> from /<*>
33,81112,200617,908,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.253.246 on block blk_-280283555628605748,E40,Unauthorized access attempt by <*> on block blk_<*>
34,81109,141110,226,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.33.11:50010 is added to blk_9892388049696476205 size 16777216,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
35,81109,51147,536,ERROR,dfs.DataNode$DataXceiver,10.250.97.11:50010:Got exception while serving blk_-7600695971554708269 to /10.251.2.85: Connection reset by peer,E20,<*>:<*>:Got exception while serving blk_<*> to /<*>: Connection reset by peer
36,81112,204225,442,SECURITY,dfs.FSNamesystem,Permission denied: 10.250.78.109 attempted to write to protected path /user/secure/part-00264,E42,Permission denied: <*> attempted to write to protected path /<*>
37,81111,120112,697,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 47% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
38,81112,80531,373,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_38 from 10.251.90.198:64278,E41,Kerberos authentication failed for user <*> from <*>:<*>
39,81110,192058,838,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.164.145:50010 is added to blk_7278840035699259340 size 33554432,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
40,81112,13227,669,WARN,dfs.DataNode,Low disk space on DataNode 10.250.78.29:50010: only 375 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
41,81110,215227,213,WARN,dfs.DataNode,Low disk space on DataNode 10.251.181.201:50010: only 929 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
42,81113,183205,237,ERROR,dfs.DataNode$BlockReceiver,IOException in BlockReceiver for block blk_-7269653128909533137: Broken pipe,E21,IOException in BlockReceiver for block blk_<*>: Broken pipe
43,81113,11353,887,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.24:50010 is added to blk_2491828439785408277 size 134217728,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
44,81111,81300,765,WARN,dfs.DataNode,Low disk space on DataNode 10.251.56.237:50010: only 412 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
45,81109,81456,645,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.101.101 on block blk_-865695073927093115,E40,Unauthorized access attempt by <*> on block blk_<*>
46,81111,132619,463,ERROR,dfs.DataNode$BlockReceiver,IOException in BlockReceiver for block blk_-4949352236097744068: Broken pipe,E21,IOException in BlockReceiver for block blk_<*>: Broken pipe
47,81112,24339,356,ERROR,dfs.DataNode$DataXceiver,10.250.16.92:50010:Got exception while serving blk_4599975313343411096 to /10.250.125.60: Connection reset by peer,E20,<*>:<*>:Got exception while serving blk_<*> to /<*>: Connection reset by peer
48,81111,90440,650,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-9485838417924519254 is added to invalidSet of 10.251.207.7:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
49,81113,172101,239,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.237.213 on block blk_9700252330946440415,E40,Unauthorized access attempt by <*> on block blk_<*>
50,81111,204435,234,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_4850473871353034916 terminating,E10,PacketResponder <*> for block blk_<*> terminating
51,81113,235533,425,SECURITY,dfs.FSNamesystem,Permission denied: 10.251.159.231 attempted to write to protected path /user/secure/part-00174,E42,Permission denied: <*> attempted to write to protected path /<*>
52,81112,5222,318,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.229.133 on block blk_-1065230173531888101,E40,Unauthorized access attempt by <*> on block blk_<*>
53,81113,80301,531,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.250.162.134:50010: volume /mnt/hadoop/dfs/data/subdir5 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
54,81110,90324,732,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_19 from 10.250.72.36:50679,E41,Kerberos authentication failed for user <*> from <*>:<*>
55,81111,62112,619,ERROR,dfs.FSNamesystem,Failed to replicate block blk_8274475838194995492: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
56,81110,135037,631,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1850486453639743670 terminating,E10,PacketResponder <*> for block blk_<*> terminating
57,81111,154408,761,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_12 from 10.250.39.230:30510,E41,Kerberos authentication failed for user <*> from <*>:<*>
58,81111,4332,740,WARN,dfs.DataNode,Low disk space on DataNode 10.250.169.33:50010: only 246 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
59,81112,2113,767,ERROR,dfs.DataNode$BlockReceiver,IOException in BlockReceiver for block blk_-6091590268114257463: Broken pipe,E21,IOException in BlockReceiver for block blk_<*>: Broken pipe
60,81109,53258,602,SECURITY,dfs.DataNode$DataXceiver,SSL handshake failure with 10.250.42.194:43738: certificate not trusted,E43,SSL handshake failure with <*>:<*>: certificate not trusted
61,81111,215854,173,WARN,dfs.DataNode$DataXceiver,Slow block read: blk_8844563267684553127 took 6927 ms from 10.251.109.174:50010,E31,Slow block read: blk_<*> took <*> ms from <*>:<*>
62,81113,41702,65,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_7415379513898562085 terminating,E10,PacketResponder <*> for block blk_<*> terminating
63,81111,202055,293,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.168.183:50010 is added to blk_-6525369708201012460 size 33554432,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
64,81110,140648,50,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.250.226.98:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
65,81110,141631,418,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 30% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
66,81109,32513,226,SECURITY,dfs.FSNamesystem,Permission denied: 10.250.147.75 attempted to write to protected path /user/secure/part-00182,E42,Permission denied: <*> attempted to write to protected path /<*>
67,81111,82245,438,WARN,dfs.DataNode,Low disk space on DataNode 10.250.82.230:50010: only 148 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
68,81113,134315,39,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_19 from 10.251.130.56:56804,E41,Kerberos authentication failed for user <*> from <*>:<*>
69,81110,172220,759,ERROR,dfs.DataNode$DataXceiver,10.251.71.223:50010:Got exception while serving blk_229094231260903267 to /10.250.136.40: Connection reset by peer,E20,<*>:<*>:Got exception while serving blk_<*> to /<*>: Connection reset by peer
70,81110,1036,233,WARN,dfs.DataNode,Low disk space on DataNode 10.250.226.238:50010: only 909 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
71,81111,153251,793,ERROR,dfs.FSNamesystem,Failed to replicate block blk_-3736603057133065922: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
72,81110,53047,153,WARN,dfs.FSNamesystem,"Replication of blk_-4475058124818329541 queued for 240 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
73,81113,154233,542,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.82.69 on block blk_6806266382659769315,E40,Unauthorized access attempt by <*> on block blk_<*>
74,81109,123552,559,WARN,dfs.DataNode$DataXceiver,Slow block read: blk_9626075145339304812 took 2533 ms from 10.250.248.169:50010,E31,Slow block read: blk_<*> took <*> ms from <*>:<*>
75,81109,130621,221,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.251.37.38:50010: volume /mnt/hadoop/dfs/data/subdir1 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
76,81109,102339,892,ERROR,dfs.DataNode$DataXceiver,10.251.48.141:50010:Got exception while serving blk_-5625554680950942961 to /10.251.246.157: Connection reset by peer,E20,<*>:<*>:Got exception while serving blk_<*> to /<*>: Connection reset by peer
77,81110,172025,610,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5597917100765470088 src: /10.250.23.237:58474 dest: /10.250.117.157:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
78,81111,121214,369,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.250.87.116:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
79,81109,70837,395,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_15 from 10.250.68.121:39924,E41,Kerberos authentication failed for user <*> from <*>:<*>
80,81111,81128,81,ERROR,dfs.DataNode,DataNode failed to transfer block blk_1258082750900407573 to 10.250.166.126:37106 due to timeout,E22,DataNode failed to transfer block blk_<*> to <*>:<*> due to timeout
81,81111,52229,215,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.250.101.98:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
82,81113,230119,290,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_30 from 10.250.26.68:60893,E41,Kerberos authentication failed for user <*> from <*>:<*>
83,81109,51846,206,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-3657135185071692761 is added to invalidSet of 10.250.130.57:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
84,81112,114812,178,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.5.59:50010 is added to blk_-7728062415377885801 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
85,81110,82731,39,INFO,dfs.DataNode$PacketResponder,PacketResponder 3 for block blk_5504592829849558803 terminating,E10,PacketResponder <*> for block blk_<*> terminating
86,81113,82809,310,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 10% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
87,81111,94550,981,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.250.91.155:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
88,81110,111046,309,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-8168344530694661048 is added to invalidSet of 10.251.86.210:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
89,81110,73208,834,SECURITY,dfs.DataNode$DataXceiver,SSL handshake failure with 10.250.58.169:35386: certificate not trusted,E43,SSL handshake failure with <*>:<*>: certificate not trusted
90,81109,23006,859,WARN,dfs.FSNamesystem,"Replication of blk_-4933167349505836770 queued for 207 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
91,81113,82049,381,SECURITY,dfs.FSNamesystem,Permission denied: 10.250.171.227 attempted to write to protected path /user/secure/part-00703,E42,Permission denied: <*> attempted to write to protected path /<*>
92,81109,142521,827,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.251.89.160:50010: volume /mnt/hadoop/dfs/data/subdir5 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
93,81109,73632,598,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.138.188 on block blk_4724293523941296928,E40,Unauthorized access attempt by <*> on block blk_<*>
94,81113,134242,202,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 50% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
95,81109,94208,722,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.251.209.98:50010: volume /mnt/hadoop/dfs/data/subdir2 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
96,81110,124011,200,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2125190771011120226 src: /10.251.8.189:42931 dest: /10.251.152.110:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
97,81109,71404,356,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_218048544868886115 terminating,E10,PacketResponder <*> for block blk_<*> terminating
98,81112,164148,376,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_4305370106233382088 is added to invalidSet of 10.250.121.80:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
99,81112,132322,205,ERROR,dfs.DataNode$BlockReceiver,IOException in BlockReceiver for block blk_8893281269260021958: Broken pipe,E21,IOException in BlockReceiver for block blk_<*>: Broken pipe
100,81110,121222,77,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.250.9.216:50010: volume /mnt/hadoop/dfs/data/subdir4 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
101,81111,84011,95,WARN,dfs.FSNamesystem,"Replication of blk_-8722395980728570044 queued for 237 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
102,81111,115334,446,WARN,dfs.FSNamesystem,"Replication of blk_-1536199173570158016 queued for 221 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
103,81113,41355,59,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_1873136673157211923 is added to invalidSet of 10.251.205.15:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
104,81109,184050,800,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-8429222181324865745 is added to invalidSet of 10.250.246.146:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
105,81113,212151,948,ERROR,dfs.DataNode$BlockReceiver,IOException in BlockReceiver for block blk_4679601599045035575: Broken pipe,E21,IOException in BlockReceiver for block blk_<*>: Broken pipe
106,81113,125405,113,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.250.22.204:50010: volume /mnt/hadoop/dfs/data/subdir0 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
107,81113,10013,318,INFO,dfs.DataNode$PacketResponder,Received block blk_4096280505139974626 of size 134217728 from /10.251.31.2,E11,Received block blk_<*> of size <*> from /<*>
108,81110,62126,593,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.37.81:50010 is added to blk_3201752894829091190 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
109,81111,223531,478,ERROR,dfs.FSNamesystem,Failed to replicate block blk_5991100700021126010: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
110,81112,201655,651,WARN,dfs.DataNode,Low disk space on DataNode 10.250.210.114:50010: only 325 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
111,81112,104814,800,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.250.27.231 on block blk_9589088981108296653,E40,Unauthorized access attempt by <*> on block blk_<*>
112,81109,160907,390,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_8281094148554459578 is added to invalidSet of 10.251.76.125:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
113,81112,12532,392,INFO,dfs.DataNode$PacketResponder,Received block blk_-3084081829557561331 of size 67108864 from /10.251.239.26,E11,Received block blk_<*> of size <*> from /<*>
114,81112,232652,176,WARN,dfs.FSNamesystem,BLOCK* NameSystem.delete: blk_-669897127571497195 is added to invalidSet of 10.251.183.118:50010,E30,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>
115,81111,164430,742,WARN,dfs.DataNode$DataXceiver,Slow block read: blk_-872698195539122192 took 4896 ms from 10.251.164.236:50010,E31,Slow block read: blk_<*> took <*> ms from <*>:<*>
116,81109,154534,704,ERROR,dfs.DataNode,DataNode failed to transfer block blk_-1553713213938044340 to 10.250.101.230:41718 due to timeout,E22,DataNode failed to transfer block blk_<*> to <*>:<*> due to timeout
117,81112,235947,780,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.250.207.28 on block blk_-135393662560947395,E40,Unauthorized access attempt by <*> on block blk_<*>
118,81112,232659,871,ERROR,dfs.FSNamesystem,Failed to replicate block blk_3233436295066110054: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
119,81111,110923,469,ERROR,dfs.DataNode,DataNode failed to transfer block blk_7994165732618056300 to 10.251.32.236:31633 due to timeout,E22,DataNode failed to transfer block blk_<*> to <*>:<*> due to timeout
120,81112,92705,237,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_27 from 10.251.124.73:64944,E41,Kerberos authentication failed for user <*> from <*>:<*>
121,81111,122307,964,INFO,dfs.DataNode$DataXceiver,Receiving block blk_65080206886748432 src: /10.250.244.187:60252 dest: /10.250.113.205:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
122,81112,122724,94,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.251.7.126:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
123,81113,154053,230,WARN,dfs.DataNode$DataXceiver,Slow block read: blk_-3050952277691710673 took 5958 ms from 10.250.212.184:50010,E31,Slow block read: blk_<*> took <*> ms from <*>:<*>
124,81110,104825,753,WARN,dfs.FSNamesystem,"Replication of blk_7964375529424955159 queued for 79 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
125,81112,230343,679,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-5413100254548390360 terminating,E10,PacketResponder <*> for block blk_<*> terminating
126,81109,153543,413,SECURITY,dfs.SecurityManager,Kerberos authentication failed for user hdfs_user_45 from 10.250.234.121:54660,E41,Kerberos authentication failed for user <*> from <*>:<*>
127,81110,171652,637,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.220.169 on block blk_-7727425177745221165,E40,Unauthorized access attempt by <*> on block blk_<*>
128,81112,150104,496,ERROR,dfs.DataNode$BlockReceiver,IOException in BlockReceiver for block blk_-3517061128960202080: Broken pipe,E21,IOException in BlockReceiver for block blk_<*>: Broken pipe
129,81113,23358,203,WARN,dfs.DataNode$DataXceiver,Slow block read: blk_-2198044396696768348 took 7493 ms from 10.251.178.78:50010,E31,Slow block read: blk_<*> took <*> ms from <*>:<*>
130,81110,161817,910,WARN,dfs.FSNamesystem,"Replication of blk_-5120853295636193378 queued for 242 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
131,81109,92624,807,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6873244582603151502 src: /10.251.78.69:62317 dest: /10.250.17.43:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
132,81109,190911,448,WARN,dfs.DataNode,Low disk space on DataNode 10.251.154.47:50010: only 795 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
133,81110,5439,504,SECURITY,dfs.DataNode$DataXceiver,SSL handshake failure with 10.251.107.143:42598: certificate not trusted,E43,SSL handshake failure with <*>:<*>: certificate not trusted
134,81109,162804,524,CRITICAL,dfs.DataBlockScanner,Corrupt block blk_-1455837522235142707 detected on 10.251.206.237:50010: checksum mismatch,E51,Corrupt block blk_<*> detected on <*>:<*>: checksum mismatch
135,81110,2038,817,SECURITY,dfs.SecurityManager,Unauthorized access attempt by 10.251.86.250 on block blk_-7042750424833462648,E40,Unauthorized access attempt by <*> on block blk_<*>
136,81112,183553,512,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.93:50010 is added to blk_-2112062260438233419 size 134217728,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
137,81109,20127,21,WARN,dfs.FSNamesystem,"Replication of blk_8959901711716463026 queued for 70 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
138,81113,50746,750,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 57% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
139,81110,221705,54,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.230.217:50010 is added to blk_-3128735853713778552 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
140,81112,90853,422,WARN,dfs.FSNamesystem,"Replication of blk_-269090041746403636 queued for 202 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
141,81112,91033,78,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 15% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
142,81113,3313,742,ERROR,dfs.FSNamesystem,Failed to replicate block blk_7787527578836877842: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
143,81113,204009,244,WARN,dfs.DataNode,Low disk space on DataNode 10.250.34.103:50010: only 139 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
144,81113,194004,267,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 41% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
